group,run,seed,step,naulc
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,44,0.1808762711864407
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,45,0.1940957627118644
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,46,0.20803050847457624
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,47,0.22198559322033898
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,48,0.23579491525423726
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,49,0.24976355932203387
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,50,0.26368474576271184
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,51,0.27741779661016946
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,52,0.2911101694915254
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,53,0.3050838983050847
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,54,0.31905338983050846
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,55,0.3326949152542373
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,56,0.3464322033898305
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,57,0.3602915254237288
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,58,0.3739983050847457
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,59,0.38762796610169487
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,60,0.40146864406779653
TD3,run-20260622_043232-p1wsv6nx8qn3fwe50d8dd,117,1,0.0
TD3,run-20260622_043232-p1wsv6nx8qn3fwe50d8dd,117,2,0.00116864406779661
TD3,run-20260622_043232-p1wsv6nx8qn3fwe50d8dd,117,3,0.002333050847457627
TD3,run-20260622_043232-p1wsv6nx8qn3fwe50d8dd,117,4,0.003490677966101695
TD3,run-20260622_043232-p1wsv6nx8qn3fwe50d8dd,117,5,0.004623728813559322
TD3,run-20260622_043232-p1wsv6nx8qn3fwe50d8dd,117,6,0.0057762711864406775
TD3,run-20260622_043232-p1wsv6nx8qn3fwe50d8dd,117,7,0.006992372881355931
TD3,run-20260622_043232-p1wsv6nx8qn3fwe50d8dd,117,8,0.008876271186440677
